sensor_name,source_address,timestamp,mean_rssi,count
A01,ecc8d72271c6b808784d96bed26f914ebb7a50fa2f68ce4800e20fb745a15727,2024-04-09T19:18:47Z,-79,2
A01,2f6b15841505a07537c49abc0fa6bbbaf1e79700236297d0ca4b1e01f9449083,2024-04-09T19:18:48Z,-31,3
A01,22bfd77a8079ab42a42c3dbdea797fa7162d7729dfe454392c6c89fed5d56306,2024-04-09T19:18:48Z,-63,4
A01,1917ed78f544b0afa72f689a4b212f9de81f916b0084279f1c81df8cf7ba62c1,2024-04-09T19:18:48Z,-76.7142857142857,14
A01,91d781763ca3e70ed4eaa893de4e261afe273efb083b7781cdb484ac7b60a857,2024-04-09T19:18:48Z,-79,1
A01,ecc8d72271c6b808784d96bed26f914ebb7a50fa2f68ce4800e20fb745a15727,2024-04-09T19:18:48Z,-79,1
A01,22bfd77a8079ab42a42c3dbdea797fa7162d7729dfe454392c6c89fed5d56306,2024-04-09T19:18:49Z,-68.9259259259259,27
A01,4231b032c132f88544dd3911db51c02ec1c5b69384263fbac31877f2ae76e76f,2024-04-09T19:18:49Z,-79,1
A01,ecc8d72271c6b808784d96bed26f914ebb7a50fa2f68ce4800e20fb745a15727,2024-04-09T19:18:49Z,-79,1
A01,1917ed78f544b0afa72f689a4b212f9de81f916b0084279f1c81df8cf7ba62c1,2024-04-09T19:18:49Z,-77,1
A01,6c28b09d1391689984f4966315319305cfdde5b14dbd817c93c907f82497737e,2024-04-09T19:18:50Z,-77.2222222222222,9
A01,22bfd77a8079ab42a42c3dbdea797fa7162d7729dfe454392c6c89fed5d56306,2024-04-09T19:18:50Z,-69,1
A01,ac9c9ea334b0e7f8d086cc3da6f4b8b70341bad9f979374b16b800016430e78e,2024-04-09T19:18:50Z,-71.6666666666667,3
A01,51a7c2e21e4598a928f0354120a7c5eabb9ff1a57d41423673852487cae5dd31,2024-04-09T19:18:51Z,-71,1
A01,22bfd77a8079ab42a42c3dbdea797fa7162d7729dfe454392c6c89fed5d56306,2024-04-09T19:18:51Z,-67.4,5
A01,6c28b09d1391689984f4966315319305cfdde5b14dbd817c93c907f82497737e,2024-04-09T19:18:51Z,-79,3
A01,dda76e387c977fdbbc65ebab3876e0f1227fb4c0e40f757cfc0870be320ac432,2024-04-09T19:18:52Z,-31,2
A01,22bfd77a8079ab42a42c3dbdea797fa7162d7729dfe454392c6c89fed5d56306,2024-04-09T19:18:52Z,-68.3333333333333,3
A01,5e8dc32b06c7bf66b44eb6426c23daa1316a6b318ed907c4b0ee94dada4b6983,2024-04-09T19:18:52Z,-68.3333333333333,3
A01,dda76e387c977fdbbc65ebab3876e0f1227fb4c0e40f757cfc0870be320ac432,2024-04-09T19:18:53Z,-31,1
