timestamp,type,subtype,strength,source_address,source_address_randomized,destination_address,destination_address_randomized,access_point_name,access_point_address,access_point_address_randomized,sequence_number,channel,sensor_name,info
2024-04-09T19:20:09.585975,management,probe-response,-63,ca35b18e9b1eef7e6c9f8bb388b349e5a3a9ffbfeb4898552bfeeab20c9fec8c,0,6d0a230f6c9f1e47d9944b97b07d9f61f8c89a1a02306c52ae8e77a0677e2957,1,PublicWiFi@GB_Free,ca35b18e9b1eef7e6c9f8bb388b349e5a3a9ffbfeb4898552bfeeab20c9fec8c,0,1297,6,A01,""
2024-04-09T19:20:09.588429,management,probe-response,-65,ca35b18e9b1eef7e6c9f8bb388b349e5a3a9ffbfeb4898552bfeeab20c9fec8c,0,6d0a230f6c9f1e47d9944b97b07d9f61f8c89a1a02306c52ae8e77a0677e2957,1,PublicWiFi@GB_Free,ca35b18e9b1eef7e6c9f8bb388b349e5a3a9ffbfeb4898552bfeeab20c9fec8c,0,1297,6,A01,""
2024-04-09T19:20:09.591129,management,probe-response,-63,ca35b18e9b1eef7e6c9f8bb388b349e5a3a9ffbfeb4898552bfeeab20c9fec8c,0,6d0a230f6c9f1e47d9944b97b07d9f61f8c89a1a02306c52ae8e77a0677e2957,1,PublicWiFi@GB_Free,ca35b18e9b1eef7e6c9f8bb388b349e5a3a9ffbfeb4898552bfeeab20c9fec8c,0,1297,6,A01,""
2024-04-09T19:20:09.605969,management,probe-response,-65,ca35b18e9b1eef7e6c9f8bb388b349e5a3a9ffbfeb4898552bfeeab20c9fec8c,0,6d0a230f6c9f1e47d9944b97b07d9f61f8c89a1a02306c52ae8e77a0677e2957,1,PublicWiFi@GB_Free,ca35b18e9b1eef7e6c9f8bb388b349e5a3a9ffbfeb4898552bfeeab20c9fec8c,0,1298,6,A01,""
2024-04-09T19:20:09.608465,management,probe-response,-57,ca35b18e9b1eef7e6c9f8bb388b349e5a3a9ffbfeb4898552bfeeab20c9fec8c,0,6d0a230f6c9f1e47d9944b97b07d9f61f8c89a1a02306c52ae8e77a0677e2957,1,PublicWiFi@GB_Free,ca35b18e9b1eef7e6c9f8bb388b349e5a3a9ffbfeb4898552bfeeab20c9fec8c,0,1298,6,A01,""
2024-04-09T19:20:09.945990,management,probe-response,-81,d37065518377ceda15b918d7cbe62cb31644a7931f4fe52335323d4697ec0d34,1,6d0a230f6c9f1e47d9944b97b07d9f61f8c89a1a02306c52ae8e77a0677e2957,1,[LG_CeilingCassette A/C]8993,d37065518377ceda15b918d7cbe62cb31644a7931f4fe52335323d4697ec0d34,1,1250,1,A01,""
2024-04-09T19:20:10.407843,data,data,-79,740207cc1dd80872475eec38e9ab6c9bbfb179c8a653abb393de8bfea9713d4b,0,ff:ff:ff:ff:ff:ff,1,(n/a),a495c7e37a95306dc9892f62c182a7a5d18a06a6e8e9cbf5db931db4857ad665,0,3532,1,A01,""
2024-04-09T19:20:10.665973,data,qos-data,-65,4231b032c132f88544dd3911db51c02ec1c5b69384263fbac31877f2ae76e76f,0,6c28b09d1391689984f4966315319305cfdde5b14dbd817c93c907f82497737e,1,(n/a),5e8dc32b06c7bf66b44eb6426c23daa1316a6b318ed907c4b0ee94dada4b6983,0,1457,6,A01,""
2024-04-09T19:20:10.667380,data,qos-data,-65,4231b032c132f88544dd3911db51c02ec1c5b69384263fbac31877f2ae76e76f,0,6c28b09d1391689984f4966315319305cfdde5b14dbd817c93c907f82497737e,1,(n/a),5e8dc32b06c7bf66b44eb6426c23daa1316a6b318ed907c4b0ee94dada4b6983,0,1457,6,A01,""
2024-04-09T19:20:10.668505,data,qos-data,-65,4231b032c132f88544dd3911db51c02ec1c5b69384263fbac31877f2ae76e76f,0,6c28b09d1391689984f4966315319305cfdde5b14dbd817c93c907f82497737e,1,(n/a),5e8dc32b06c7bf66b44eb6426c23daa1316a6b318ed907c4b0ee94dada4b6983,0,1457,6,A01,""
2024-04-09T19:20:10.669590,data,qos-data,-65,4231b032c132f88544dd3911db51c02ec1c5b69384263fbac31877f2ae76e76f,0,6c28b09d1391689984f4966315319305cfdde5b14dbd817c93c907f82497737e,1,(n/a),5e8dc32b06c7bf66b44eb6426c23daa1316a6b318ed907c4b0ee94dada4b6983,0,1457,6,A01,""
2024-04-09T19:20:10.670547,data,qos-data,-65,4231b032c132f88544dd3911db51c02ec1c5b69384263fbac31877f2ae76e76f,0,6c28b09d1391689984f4966315319305cfdde5b14dbd817c93c907f82497737e,1,(n/a),5e8dc32b06c7bf66b44eb6426c23daa1316a6b318ed907c4b0ee94dada4b6983,0,1457,6,A01,""
2024-04-09T19:20:10.671469,data,qos-data,-67,4231b032c132f88544dd3911db51c02ec1c5b69384263fbac31877f2ae76e76f,0,6c28b09d1391689984f4966315319305cfdde5b14dbd817c93c907f82497737e,1,(n/a),5e8dc32b06c7bf66b44eb6426c23daa1316a6b318ed907c4b0ee94dada4b6983,0,1457,6,A01,""
